wavelength (microns),Sapphire Window_130 Transmission
3.03913,87.7215
3.04091,87.7595
3.0427,87.782
3.04448,87.789
3.04627,87.791
3.04806,87.7895
3.04986,87.782
3.05165,87.764
3.05345,87.7355
3.05525,87.7065
3.05705,87.696
3.05885,87.7235
3.06066,87.774
3.06247,87.811
3.06428,87.827
3.06609,87.8295
3.0679,87.82
3.06972,87.7985
3.07154,87.7885
3.07336,87.802
3.07518,87.8125
3.07701,87.7965
3.07883,87.77
3.08066,87.773
3.08249,87.8035
3.08433,87.829
3.08616,87.84
3.088,87.8345
3.08984,87.806
3.09169,87.7705
3.09353,87.769
3.09538,87.8055
3.09723,87.8435
3.09908,87.86
3.10093,87.8635
3.10279,87.862
3.10464,87.8565
3.1065,87.849
3.10837,87.847
3.11023,87.8565
3.1121,87.8665
3.11397,87.876
3.11584,87.8815
3.11771,87.8755
3.11959,87.871
3.12147,87.8745
3.12335,87.878
3.12523,87.8855
3.12711,87.893
3.129,87.892
3.13089,87.887
3.13278,87.882
3.13468,87.878
3.13657,87.8795
3.13847,87.8875
3.14037,87.893
3.14228,87.893
3.14418,87.894
3.14609,87.9005
3.148,87.9025
3.14991,87.902
3.15183,87.9035
3.15374,87.9065
3.15566,87.908
3.15759,87.91
3.15951,87.911
3.16144,87.9125
3.16337,87.9125
3.1653,87.908
3.16723,87.8915
3.16917,87.859
3.1711,87.827
3.17305,87.8255
3.17499,87.8565
3.17693,87.889
3.17888,87.9045
3.18083,87.9005
3.18278,87.874
3.18474,87.8435
3.1867,87.8425
3.18866,87.8735
3.19062,87.904
3.19258,87.902
3.19455,87.8845
3.19652,87.886
3.19849,87.9
3.20047,87.897
3.20244,87.8645
3.20442,87.819
3.2064,87.7925
3.20839,87.796
3.21038,87.822
3.21236,87.852
3.21436,87.865
3.21635,87.864
3.21835,87.878
3.22035,87.903
3.22235,87.911
3.22435,87.8965
3.22636,87.887
3.22837,87.9075
3.23038,87.93
3.23239,87.92
3.23441,87.8895
3.23643,87.8675
3.23845,87.858
3.24047,87.8495
3.2425,87.839
3.24453,87.8315
3.24656,87.8255
3.24859,87.8345
3.25063,87.869
3.25267,87.9115
3.25471,87.9305
3.25676,87.9145
3.2588,87.8865
3.26085,87.8795
3.2629,87.902
3.26496,87.931
3.26702,87.9485
3.26908,87.946
3.27114,87.93
3.2732,87.916
3.27527,87.904
3.27734,87.8985
3.27942,87.9035
3.28149,87.9045
3.28357,87.8875
3.28565,87.8695
3.28773,87.8765
3.28982,87.907
3.29191,87.926
3.294,87.9165
3.29609,87.9065
3.29819,87.923
3.30029,87.95
3.30239,87.9655
3.3045,87.966
3.3066,87.96
3.30871,87.955
3.31083,87.9425
3.31294,87.921
3.31506,87.9015
3.31718,87.887
3.31931,87.8915
3.32143,87.9215
3.32356,87.965
3.32569,87.9975
3.32783,88.0075
3.32997,88.006
3.33211,87.9965
3.33425,87.9765
3.33639,87.9635
3.33854,87.9615
3.34069,87.957
3.34285,87.9655
3.345,87.996
